,label
5174,0.0
158,0.0
35291,1.0
35866,1.0
38858,1.0
42360,1.0
2691,0.0
13311,0.0
21898,0.0
27942,0.0
6502,0.0
47559,1.0
24496,0.0
4975,0.0
2627,0.0
46804,1.0
15603,0.0
45974,1.0
7827,0.0
45939,1.0
15925,0.0
21945,0.0
39513,1.0
21738,0.0
27393,0.0
24610,0.0
22178,0.0
8978,0.0
34904,1.0
40470,1.0
33333,1.0
31972,1.0
24053,0.0
4581,0.0
23768,0.0
10411,0.0
46896,1.0
21035,0.0
9747,0.0
25174,0.0
22135,0.0
9047,0.0
6086,0.0
7506,0.0
27351,0.0
15546,0.0
27731,0.0
49000,1.0
2036,0.0
17188,0.0
34968,1.0
5076,0.0
41904,1.0
2724,0.0
32944,1.0
46732,1.0
28396,0.0
5924,0.0
30076,0.0
31730,0.0
43729,1.0
33259,1.0
45718,1.0
32516,1.0
32365,1.0
42236,1.0
28293,0.0
48826,1.0
2973,0.0
16621,0.0
12986,0.0
31681,0.0
23286,0.0
7656,0.0
21690,0.0
33199,1.0
13053,0.0
20830,0.0
1127,0.0
8591,0.0
23315,0.0
44844,1.0
14543,0.0
26511,0.0
27553,0.0
17250,0.0
32503,1.0
32526,1.0
6235,0.0
49586,1.0
48004,1.0
2543,0.0
2015,0.0
38472,1.0
160,0.0
35577,1.0
28119,0.0
40801,1.0
2981,0.0
14834,0.0
33801,1.0
5385,0.0
28010,0.0
19359,0.0
26345,0.0
47157,1.0
23044,0.0
518,0.0
4534,0.0
47713,1.0
15415,0.0
21667,0.0
20889,0.0
39977,1.0
47649,1.0
2952,0.0
14192,0.0
47234,1.0
45753,1.0
34081,1.0
46290,1.0
49812,1.0
2898,0.0
25099,0.0
24128,0.0
21227,0.0
29067,0.0
24811,0.0
32870,1.0
47096,1.0
29658,0.0
30611,0.0
35481,1.0
24699,0.0
41375,1.0
36512,1.0
12959,0.0
21236,0.0
27140,0.0
30052,0.0
28484,0.0
16120,0.0
7316,0.0
31599,0.0
5333,0.0
5727,0.0
11355,0.0
12274,0.0
8866,0.0
34926,1.0
38385,1.0
8593,0.0
49644,1.0
5740,0.0
1604,0.0
30198,0.0
8216,0.0
42140,1.0
37756,1.0
36112,1.0
6482,0.0
35262,1.0
25746,0.0
13688,0.0
38642,1.0
46580,1.0
28786,0.0
801,0.0
25079,0.0
34410,1.0
45022,1.0
49300,1.0
34156,1.0
116,0.0
39631,1.0
16427,0.0
22183,0.0
30069,0.0
16624,0.0
28525,0.0
30124,0.0
46644,1.0
35959,1.0
15204,0.0
32242,1.0
38222,1.0
14880,0.0
35837,1.0
41320,1.0
18795,0.0
9954,0.0
3954,0.0
19529,0.0
44818,1.0
18960,0.0
157,0.0
21516,0.0
15915,0.0
49757,1.0
11511,0.0
49354,1.0
15274,0.0
19674,0.0
26954,0.0
17885,0.0
44650,1.0
30787,0.0
28133,0.0
28338,0.0
28262,0.0
20998,0.0
40203,1.0
9731,0.0
18709,0.0
33953,1.0
13405,0.0
25693,0.0
34985,1.0
243,0.0
8282,0.0
34935,1.0
27360,0.0
26387,0.0
27550,0.0
9328,0.0
27988,0.0
7110,0.0
49098,1.0
26412,0.0
37697,1.0
10633,0.0
27381,0.0
33723,1.0
7588,0.0
83,0.0
47528,1.0
45806,1.0
17605,0.0
42589,1.0
48883,1.0
21624,0.0
11640,0.0
23606,0.0
44496,1.0
18915,0.0
23878,0.0
3156,0.0
5130,0.0
12430,0.0
20703,0.0
11717,0.0
8034,0.0
2624,0.0
33834,1.0
13464,0.0
10506,0.0
13003,0.0
9918,0.0
31663,0.0
5219,0.0
32998,1.0
36274,1.0
35396,1.0
32753,1.0
33729,1.0
13137,0.0
561,0.0
22225,0.0
16080,0.0
24523,0.0
36075,1.0
21721,0.0
19043,0.0
22976,0.0
49577,1.0
44946,1.0
45672,1.0
1535,0.0
3043,0.0
33220,1.0
39309,1.0
18461,0.0
13909,0.0
5960,0.0
16686,0.0
12277,0.0
46272,1.0
46660,1.0
4408,0.0
33633,1.0
34419,1.0
29618,0.0
7820,0.0
27505,0.0
2238,0.0
9202,0.0
38603,1.0
27362,0.0
38580,1.0
26099,0.0
42150,1.0
48616,1.0
24531,0.0
36076,1.0
47632,1.0
20553,0.0
32136,1.0
40838,1.0
21863,0.0
20123,0.0
36342,1.0
46143,1.0
44320,1.0
12134,0.0
38742,1.0
26844,0.0
39957,1.0
25190,0.0
31114,0.0
38720,1.0
32722,1.0
32265,1.0
34301,1.0
48063,1.0
44648,1.0
48740,1.0
2264,0.0
39339,1.0
7962,0.0
30184,0.0
32562,1.0
14012,0.0
40250,1.0
9910,0.0
26044,0.0
17378,0.0
14445,0.0
31094,0.0
17887,0.0
20982,0.0
31689,0.0
3973,0.0
21943,0.0
31945,0.0
874,0.0
19035,0.0
1473,0.0
25670,0.0
15739,0.0
48651,1.0
27923,0.0
41067,1.0
5393,0.0
21857,0.0
41093,1.0
27625,0.0
17149,0.0
6596,0.0
47007,1.0
24841,0.0
49083,1.0
3268,0.0
11244,0.0
21812,0.0
5272,0.0
47850,1.0
19725,0.0
31611,0.0
11391,0.0
41766,1.0
49328,1.0
20784,0.0
43668,1.0
22887,0.0
13039,0.0
